Year,Annual Average CPI(-U),Annual Percent Change (rate of inflation)
1913,9.9,
1914,10,1.30%
1915,10.1,0.90%
1916,10.9,7.70%
1917,12.8,17.80%
1918,15,17.30%
1919,17.3,15.20%
1920,20,15.60%
1921,17.9,-10.90%
1922,16.8,-6.20%
1923,17.1,1.80%
1924,17.1,0.40%
1925,17.5,2.40%
1926,17.7,0.90%
1927,17.4,-1.90%
1928,17.2,-1.20%
1929,17.2,0.00%
1930,16.7,-2.70%
1931,15.2,-8.90%
1932,13.6,-10.30%
1933,12.9,-5.20%
1934,13.4,3.50%
1935,13.7,2.60%
1936,13.9,1.00%
1937,14.4,3.70%
1938,14.1,-2.00%
1939,13.9,-1.30%
1940,14,0.70%
1941,14.7,5.10%
1942,16.3,10.90%
1943,17.3,6.00%
1944,17.6,1.60%
1945,18,2.30%
1946,19.5,8.50%
1947,22.3,14.40%
1948,24,7.70%
1949,23.8,-1.00%
1950,24.1,1.10%
1951,26,7.90%
1952,26.6,2.30%
1953,26.8,0.80%
1954,26.9,0.30%
1955,26.8,-0.30%
1956,27.2,1.50%
1957,28.1,3.30%
1958,28.9,2.70%
1959,29.2,1.08%
1960,29.6,1.50%
1961,29.9,1.10%
1962,30.3,1.20%
1963,30.6,1.20%
1964,31,1.30%
1965,31.5,1.60%
1966,32.5,3.00%
1967,33.4,2.80%
1968,34.8,4.30%
1969,36.7,5.50%
1970,38.8,5.80%
1971,40.5,4.30%
1972,41.8,3.30%
1973,44.4,6.20%
1974,49.3,11.10%
1975,53.8,9.10%
1976,56.9,5.70%
1977,60.6,6.50%
1978,65.2,7.60%
1979,72.6,11.30%
1980,82.4,13.50%
1981,90.9,10.30%
1982,96.5,6.10%
1983,99.6,3.20%
1984,103.9,4.30%
1985,107.6,3.50%
1986,109.6,1.90%
1987,113.6,3.70%
1988,118.3,4.10%
1989,124,4.80%
1990,130.7,5.40%
1991,136.2,4.20%
1992,140.3,3.00%
1993,144.5,3.00%
1994,148.2,2.60%
1995,152.4,2.80%
1996,156.9,2.90%
1997,160.5,2.30%
1998,163,1.60%
1999,166.6,2.20%
2000,172.2,3.40%
2001,177.1,2.80%
2002,179.9,1.60%
2003,184,2.30%
2004,188.9,2.70%
2005,195.3,3.40%
2006,201.6,3.20%
2007,207.3,2.90%
2008,215.3,3.80%
2009,214.5,-0.40%
2010,218.1,1.60%
2011,224.9,3.20%
2012,229.6,2.10%
 2013,233,1.50%
 2014,236.7,1.60%
 2015,237,0.10%
 2016,240,1.30%
 2017,245.1,2.10%
 2018,251.1,2.40%
 2019,255.7,1.80%
 2020,258.8,1.20%
 2021,271,4.70%
 2022,292.7,8.00%
 2023,304.7,4.10%
 2024,314.4,3.20%